state,type,date,staff
Negeri Sembilan,dentist,2015-01-01,223
Negeri Sembilan,dentist,2016-01-01,209
Negeri Sembilan,dentist,2017-01-01,285
Negeri Sembilan,dentist,2018-01-01,359
Negeri Sembilan,dentist,2019-01-01,417
Negeri Sembilan,dentist,2020-01-01,463
Negeri Sembilan,dentist,2021-01-01,476
Negeri Sembilan,dentist,2022-01-01,463
Negeri Sembilan,doctor,2014-01-01,1504
Negeri Sembilan,doctor,2015-01-01,1502
Negeri Sembilan,doctor,2016-01-01,1619
Negeri Sembilan,doctor,2017-01-01,1946
Negeri Sembilan,doctor,2018-01-01,2335
Negeri Sembilan,doctor,2019-01-01,2444
Negeri Sembilan,doctor,2020-01-01,2595
Negeri Sembilan,doctor,2021-01-01,2698
Negeri Sembilan,doctor,2022-01-01,2876
Negeri Sembilan,nurse,2014-01-01,2352
Negeri Sembilan,nurse,2015-01-01,2479
Negeri Sembilan,nurse,2016-01-01,2585
Negeri Sembilan,nurse,2017-01-01,2631
Negeri Sembilan,nurse,2018-01-01,2591
Negeri Sembilan,nurse,2019-01-01,2736
Negeri Sembilan,nurse,2020-01-01,4123
Negeri Sembilan,nurse,2021-01-01,3050
Negeri Sembilan,nurse,2022-01-01,3037
Negeri Sembilan,nurse_community,2014-01-01,943
Negeri Sembilan,nurse_community,2015-01-01,928
Negeri Sembilan,nurse_community,2016-01-01,916
Negeri Sembilan,nurse_community,2017-01-01,917
Negeri Sembilan,nurse_community,2018-01-01,872
Negeri Sembilan,nurse_community,2019-01-01,882
Negeri Sembilan,nurse_community,2020-01-01,842
Negeri Sembilan,nurse_community,2021-01-01,806
Negeri Sembilan,nurse_community,2022-01-01,872
Pahang,all,2014-01-01,7356
Pahang,all,2015-01-01,7655
Pahang,all,2016-01-01,7925
Pahang,all,2017-01-01,8026
Pahang,all,2018-01-01,8347
Pahang,all,2019-01-01,9050
Pahang,all,2020-01-01,9042
Pahang,all,2021-01-01,9427
Pahang,all,2022-01-01,9586
Pahang,dentist,2014-01-01,289
Pahang,dentist,2015-01-01,351
Pahang,dentist,2016-01-01,419
Pahang,dentist,2017-01-01,448
Pahang,dentist,2018-01-01,487
Pahang,dentist,2019-01-01,551
Pahang,dentist,2020-01-01,573
Pahang,dentist,2021-01-01,630
Pahang,dentist,2022-01-01,624
Pahang,doctor,2014-01-01,1636
Pahang,doctor,2015-01-01,1630
Pahang,doctor,2016-01-01,1691
Pahang,doctor,2017-01-01,1818
Pahang,doctor,2018-01-01,2159
Pahang,doctor,2019-01-01,2790
Pahang,doctor,2020-01-01,3132
Pahang,doctor,2021-01-01,2967
Pahang,doctor,2022-01-01,2927
Pahang,nurse,2014-01-01,3609
Pahang,nurse,2015-01-01,3857
Pahang,nurse,2016-01-01,4015
Pahang,nurse,2017-01-01,4059
Pahang,nurse,2018-01-01,3997
Pahang,nurse,2019-01-01,4019
Pahang,nurse,2020-01-01,3660
Pahang,nurse,2021-01-01,4260
Pahang,nurse,2022-01-01,4336
Pahang,nurse_community,2014-01-01,1822
Pahang,nurse_community,2015-01-01,1817
Pahang,nurse_community,2016-01-01,1800
Pahang,nurse_community,2017-01-01,1701
Pahang,nurse_community,2018-01-01,1704
Pahang,nurse_community,2019-01-01,1690
Pahang,nurse_community,2020-01-01,1677
Pahang,nurse_community,2021-01-01,1570
Pahang,nurse_community,2022-01-01,1699
Perak,all,2014-01-01,10103
Perak,all,2015-01-01,10569
Perak,all,2016-01-01,10867
Perak,all,2017-01-01,11259
Perak,all,2018-01-01,11422
Perak,all,2019-01-01,11995
Perak,all,2020-01-01,6566
Perak,all,2021-01-01,13130
Perak,all,2022-01-01,13561
Perak,dentist,2014-01-01,285
Perak,dentist,2015-01-01,278
Perak,dentist,2016-01-01,318
Perak,dentist,2017-01-01,420
Perak,dentist,2018-01-01,458
Perak,dentist,2019-01-01,521
Perak,dentist,2020-01-01,548
Perak,dentist,2021-01-01,564
Perak,dentist,2022-01-01,599
Perak,doctor,2014-01-01,2373
Perak,doctor,2015-01-01,2378
Perak,doctor,2016-01-01,2544
Perak,doctor,2017-01-01,2884
Perak,doctor,2018-01-01,3146
Perak,doctor,2019-01-01,3578
Perak,doctor,2020-01-01,3130
Perak,doctor,2021-01-01,4063
Perak,doctor,2022-01-01,4214
Perak,nurse,2014-01-01,5278
Perak,nurse,2015-01-01,5764
Perak,nurse,2016-01-01,5872
Perak,nurse,2017-01-01,5919
Perak,nurse,2018-01-01,5826
Perak,nurse,2019-01-01,5903
Perak,nurse,2020-01-01,981
Perak,nurse,2021-01-01,6685
Perak,nurse,2022-01-01,6782
Perak,nurse_community,2014-01-01,2167
Perak,nurse_community,2015-01-01,2149
Perak,nurse_community,2016-01-01,2133
Perak,nurse_community,2017-01-01,2036
Perak,nurse_community,2018-01-01,1992
Perak,nurse_community,2019-01-01,1993
Perak,nurse_community,2020-01-01,1907
Perak,nurse_community,2021-01-01,1818
Perak,nurse_community,2022-01-01,1966
Perlis,all,2014-01-01,1581
Perlis,all,2015-01-01,1721
Perlis,all,2016-01-01,1840
Perlis,all,2017-01-01,1882
Perlis,all,2018-01-01,1914
Perlis,all,2019-01-01,1994
Perlis,all,2020-01-01,10665
Perlis,all,2021-01-01,2100
Perlis,all,2022-01-01,2116
Perlis,dentist,2014-01-01,67
Perlis,dentist,2015-01-01,71
Perlis,dentist,2016-01-01,89
Perlis,dentist,2017-01-01,109
Perlis,dentist,2018-01-01,135
Perlis,dentist,2019-01-01,148
Perlis,dentist,2020-01-01,134
Perlis,dentist,2021-01-01,145
Perlis,dentist,2022-01-01,141
Perlis,doctor,2014-01-01,419
Perlis,doctor,2015-01-01,434
Perlis,doctor,2016-01-01,483
Perlis,doctor,2017-01-01,525
Perlis,doctor,2018-01-01,543
Perlis,doctor,2019-01-01,599
Perlis,doctor,2020-01-01,749
Perlis,doctor,2021-01-01,644
Perlis,doctor,2022-01-01,654
Perlis,nurse,2014-01-01,746
Perlis,nurse,2015-01-01,870
Perlis,nurse,2016-01-01,923
Perlis,nurse,2017-01-01,913
Perlis,nurse,2018-01-01,906
Perlis,nurse,2019-01-01,914
Perlis,nurse,2020-01-01,9465
Perlis,nurse,2021-01-01,1013
Perlis,nurse,2022-01-01,998
Perlis,nurse_community,2014-01-01,349
Perlis,nurse_community,2015-01-01,346
Perlis,nurse_community,2016-01-01,345
Perlis,nurse_community,2017-01-01,335
Perlis,nurse_community,2018-01-01,330
Perlis,nurse_community,2019-01-01,333
Perlis,nurse_community,2020-01-01,317
Perlis,nurse_community,2021-01-01,298
Perlis,nurse_community,2022-01-01,323
Pulau Pinang,all,2014-01-01,6427
Pulau Pinang,all,2015-01-01,6505
Pulau Pinang,all,2016-01-01,6769
Pulau Pinang,all,2017-01-01,7506
